package1,package2,strength,count
gi,gi,1.0,19305
pylab,pylab,1.0,19243
struct,sys,0.40910159171028737,19148
distutils,sys,0.3697449428320141,18918
textwrap,textwrap,1.0,18916
sqlite3,sqlite3,1.0,18886
oslo_log,oslo_log,1.0,18543
sys,xml,0.3545127192472993,18312
urllib,urllib2,0.3612959270300685,18300
numpy,sklearn,0.8180269822060867,18251
wx,wx,1.0,18071
io,sys,0.4494724736236812,17978
tornado,tornado,1.0,17798
os,uuid,0.3389966249070419,17778
zipfile,zipfile,1.0,17749
urllib,urlparse,0.3820848453430102,17689
app,app,1.0,17650
pkg_resources,pkg_resources,1.0,17573
stat,stat,1.0,17430
httplib,httplib,1.0,17417
errno,sys,0.5585063576372123,17350
pytz,pytz,1.0,17339
StringIO,sys,0.4168966351972888,17222
getopt,getopt,1.0,17167
inspect,os,0.45027994637646873,17130
imp,imp,1.0,16961
csv,os,0.4374756929139983,16873
contextlib,os,0.5168619208061574,16721
os,struct,0.3503044546522807,16396
sys,types,0.4478489039523315,16385
Queue,Queue,1.0,16249
os,pickle,0.4815879981024668,16243
bs4,bs4,1.0,16218
inspect,sys,0.4257813526798623,16198
os,stat,0.9289730349971314,16192
gettext,gettext,1.0,15962
neutron,neutron,1.0,15885
webob,webob,1.0,15865
swgpy,swgpy,1.0,15772
getpass,getpass,1.0,15700
binascii,binascii,1.0,15634
werkzeug,werkzeug,1.0,15629
cgi,cgi,1.0,15350
platform,sys,0.5831781384211927,15344
multiprocessing,os,0.5545944360957372,15131
getopt,sys,0.876623754878546,15049
signal,time,0.5357653279977133,14995
pprint,sys,0.42115908643986855,14992
shlex,shlex,1.0,14830
doctest,doctest,1.0,14803
codecs,sys,0.45824158784307645,14776
os,zipfile,0.83199053467801,14767
os,yaml,0.6340981352582281,14758
settings,settings,1.0,14696
importlib,importlib,1.0,14563
gzip,gzip,1.0,14562
django,rest_framework,0.6315835140997831,14558
oslo_utils,oslo_utils,1.0,14553
datetime,pytz,0.8389180460234155,14546
jinja2,jinja2,1.0,14523
os,pprint,0.4034047813017951,14360
pymongo,pymongo,1.0,14314
os,utils,0.3431273704930626,14294
os,types,0.3889465915924124,14230
datetime,dateutil,0.7156828149417754,14197
ConfigParser,sys,0.5099368970769566,14061
sympy,sympy,1.0,14037
email,email,1.0,14000
csv,sys,0.3570484067515362,13771
cStringIO,os,0.49351257838967777,13693
test,unittest,0.6466666666666666,13677
pickle,sys,0.397592504743833,13410
numpy,pylab,0.6920958270539936,13318
locale,locale,1.0,13204
fnmatch,fnmatch,1.0,13152
multiprocessing,sys,0.47300516805336656,12905
imp,os,0.7514297506043276,12745
boto,boto,1.0,12608
cPickle,os,0.5458911885424854,12502
invenio,invenio,1.0,12182
config,os,0.3933730647146466,12145
PyQt5,PyQt5,1.0,12142
unittest2,unittest2,1.0,12118
errno,time,0.38699501046193463,12022
os,shlex,0.8024949426837491,11901
pdb,pdb,1.0,11863
weakref,weakref,1.0,11699
cStringIO,sys,0.4182584877099402,11605
select,select,1.0,11455
imp,sys,0.6713047579741761,11386
PIL,os,0.5339796686746988,11346
json,simplejson,0.49667104686815594,11339
base,base,1.0,11283
alembic,alembic,1.0,11255
multiprocessing,time,0.41076861049004876,11207
cv2,cv2,1.0,11186
eventlet,eventlet,1.0,11180
ast,ast,1.0,11116
fnmatch,os,0.8342457420924574,10972
gobject,gobject,1.0,10826
xmodule,xmodule,1.0,10746
contextlib,sys,0.33170535686686653,10731
django,models,0.4402896046731663,10703
getopt,os,0.6189200209704666,10625
getpass,os,0.6699363057324841,10518
zlib,zlib,1.0,10339
datetime,decimal,0.42993123113049314,10253
PySide,PySide,1.0,10244
alembic,sqlalchemy,0.9050199911150599,10186
Tkinter,Tkinter,1.0,10141
Queue,threading,0.6204074096867499,10081
ansible,ansible,1.0,10060
os,textwrap,0.5291287798688941,10009
calendar,calendar,1.0,9992
oslo_config,oslo_log,0.5283395351345521,9797
celery,celery,1.0,9778
os,pkg_resources,0.5551129573777955,9755
pyramid,pyramid,1.0,9750
theano,theano,1.0,9699
array,array,1.0,9681
ctypes,os,0.36775154710061886,9627
stat,sys,0.5506597819850831,9598
gzip,os,0.657945337178959,9581
ctypes,sys,0.36591794636717856,9579
getpass,sys,0.6089171974522293,9560
shlex,sys,0.6376264329062711,9456
cPickle,sys,0.4127150467208104,9452
testtools,testtools,1.0,9371
selenium,selenium,1.0,9330
psycopg2,psycopg2,1.0,9328
cinder,cinder,1.0,9178
asyncio,asyncio,1.0,9174
model,model,1.0,9152
fabric,fabric,1.0,9099
os,sqlite3,0.4761728264322779,8993
mimetypes,mimetypes,1.0,8988
MySQLdb,MySQLdb,1.0,8979
builtins,builtins,1.0,8942
gevent,gevent,1.0,8892
sys,textwrap,0.4687037428631846,8866
tempest,tempest,1.0,8862
networkx,networkx,1.0,8852
gc,gc,1.0,8851
os,simplejson,0.3868593955321945,8832
constants,constants,1.0,8791
commands,commands,1.0,8737
Queue,time,0.5372022893716536,8729
gettext,os,0.5439168024057136,8682
atexit,atexit,1.0,8653
sys,test,0.40245862884160755,8512
IPython,IPython,1.0,8494
tarfile,tarfile,1.0,8480
decimal,django,0.354159677960416,8446
fcntl,fcntl,1.0,8428
cv2,numpy,0.7530842124083676,8424
serial,serial,1.0,8413
os,test,0.3967848699763593,8392
horizon,horizon,1.0,8264
sys,yaml,0.35451576866890094,8251
configparser,configparser,1.0,8196
jinja2,os,0.5603525442401708,8138
ssl,ssl,1.0,8103
telemetry,telemetry,1.0,8063
flask,werkzeug,0.5127007486083562,8013
sys,zipfile,0.45134937179559415,8011
scrapy,scrapy,1.0,7995
nltk,nltk,1.0,7988
bson,bson,1.0,7987
Components,Components,1.0,7968
numpy,theano,0.8210124755129394,7963
gtk,os,0.40779633234299767,7961
OpenGL,OpenGL,1.0,7959
thread,thread,1.0,7957
tools,tools,1.0,7892
unicodedata,unicodedata,1.0,7891
locale,os,0.5945925477128143,7851
redis,redis,1.0,7819
api,api,1.0,7804
qgis,qgis,1.0,7775
pkg_resources,sys,0.44238320150230465,7774
oslo_config,oslo_utils,0.5332921047206761,7761
common,os,0.3428328561202577,7663
os,tarfile,0.902004716981132,7649
smtplib,smtplib,1.0,7639
frappe,frappe,1.0,7630
openstack_dashboard,openstack_dashboard,1.0,7625
nova,oslo,0.3646223245992898,7598
django,horizon,0.9159002904162633,7569
oslo_config,six,0.34416922302092395,7517
apps,apps,1.0,7502
Queue,sys,0.46002830943442674,7475
django,xmodule,0.6944909733854457,7463
importlib,os,0.5101970747785484,7430
netaddr,netaddr,1.0,7392
wtforms,wtforms,1.0,7385
gi,os,0.3781921781921782,7301
Queue,os,0.44624284571358236,7251
webbrowser,webbrowser,1.0,7189
src,src,1.0,7115
click,click,1.0,7084
xmlrpclib,xmlrpclib,1.0,7076
fcntl,os,0.8381585192216422,7064
resources,resources,1.0,7053
pwd,pwd,1.0,7050
oslo_log,oslo_utils,0.482718339861197,7025
gzip,sys,0.4818706221672847,7017
rospy,rospy,1.0,6999
oslo_log,six,0.37577522515234857,6968
hmac,hmac,1.0,6941
matplotlib,pylab,0.36002702281349064,6928
__future__,frappe,0.9078636959370905,6927
oslo_utils,six,0.47543461829176115,6919
__builtin__,__builtin__,1.0,6891
locale,sys,0.5215086337473492,6886
cgi,os,0.44521172638436485,6834
mimetypes,os,0.7576769025367156,6810
http,http,1.0,6808
select,sys,0.5927542557835006,6790
xbmc,xbmc,1.0,6780
calendar,datetime,0.6759407526020816,6754
enigma,enigma,1.0,6725
app,flask,0.3794900849858357,6698
os,select,0.5846355303360977,6697
tkinter,tkinter,1.0,6602
fnmatch,sys,0.5015967153284672,6597
Image,Image,1.0,6575
webapp2,webapp2,1.0,6568
bs4,re,0.40430385990874335,6557
django,openstack_dashboard,0.8596721311475409,6555
module,module,1.0,6553
SCons,SCons,1.0,6552
gobject,gtk,0.6004064289673009,6500
cms,cms,1.0,6455
dbus,dbus,1.0,6451
shlex,subprocess,0.4345246122724208,6444
httplib,sys,0.3699259344318769,6443
email,os,0.4552857142857143,6374
student,student,1.0,6349
os,pwd,0.8991489361702127,6339
autotest,autotest,1.0,6334
cherrypy,cherrypy,1.0,6310
django,pytz,0.36345810023646113,6302
shutil,zipfile,0.35444250380303116,6291
stat,time,0.3604704532415376,6283
nova,webob,0.3945792625275764,6260
httplib,os,0.3590744674743067,6254
re,stat,0.35731497418244407,6228
tensorflow,tensorflow,1.0,6219
astropy,astropy,1.0,6209
Bio,Bio,1.0,6200
select,time,0.5410737669140113,6198
binascii,os,0.3956760905718306,6186
atexit,os,0.7057667860857506,6107
java,java,1.0,6107
Tools,Tools,1.0,6079
oslo_serialization,oslo_serialization,1.0,6065
mpl_toolkits,mpl_toolkits,1.0,6062
Crypto,Crypto,1.0,6049
posixpath,posixpath,1.0,6044
select,socket,0.5271060672195548,6038
bpy,bpy,1.0,6036
docutils,docutils,1.0,6032
helpers,helpers,1.0,6013
django,student,0.9376279729091196,5953
os,tornado,0.33413866726598496,5947
queue,queue,1.0,5924
enum,enum,1.0,5866
cms,django,0.9078233927188226,5860
unittest,unittest2,0.48324806073609505,5856
configparser,os,0.714006832601269,5852
Components,enigma,0.8679553903345725,5837
importlib,sys,0.3965529080546591,5775
commands,os,0.6605242073938423,5771
difflib,difflib,1.0,5756
hashlib,hmac,0.8292753205589972,5756
pants,pants,1.0,5679
kivy,kivy,1.0,5678
md5,md5,1.0,5663
exceptions,exceptions,1.0,5625
binascii,sys,0.3596008698989382,5622
os,werkzeug,0.3586921748032504,5606
PyQt4,qgis,0.7188424437299036,5589
__future__,pants,0.9809825673534073,5571
pyglet,pyglet,1.0,5568
matplotlib,mpl_toolkits,0.91768393269548,5563
sickbeard,sickbeard,1.0,5561
apps,django,0.7406025059984004,5556
fnmatch,re,0.4182633819951338,5501
pygments,pygments,1.0,5434
bs4,requests,0.3345665310149217,5426
sets,sets,1.0,5384
httplib2,httplib2,1.0,5366
cgi,sys,0.34957654723127035,5366
processing,processing,1.0,5360
atexit,sys,0.6182826765283717,5350
zmq,zmq,1.0,5317
gc,sys,0.6003841373856061,5314
doctest,sys,0.35702222522461663,5285
os,zlib,0.5070122835864204,5242
main,main,1.0,5222
h5py,h5py,1.0,5220
RPi,RPi,1.0,5216
mpl_toolkits,numpy,0.8581326294952161,5202
os,settings,0.35370168753402287,5198
traits,traits,1.0,5197
opaque_keys,opaque_keys,1.0,5181
pdb,sys,0.4321841018292169,5127
future,future,1.0,5065
bisect,bisect,1.0,5060
Screens,Screens,1.0,5033
Components,Tools,0.827109721993749,5028
timeit,timeit,1.0,4990
bottle,bottle,1.0,4988
corehq,corehq,1.0,4974
BeautifulSoup,BeautifulSoup,1.0,4963
fcntl,sys,0.5866160417655434,4944
ast,os,0.4445843828715365,4942
psutil,psutil,1.0,4933
horizon,openstack_dashboard,0.6460327868852459,4926
os,pdb,0.4149034814127961,4922
pygtk,pygtk,1.0,4915
sublime,sublime,1.0,4913
astropy,numpy,0.7901433403124497,4906
HTMLParser,HTMLParser,1.0,4899
Components,Screens,0.9729783429366183,4897
email,sys,0.3495714285714286,4894
Products,Products,1.0,4892
gluon,gluon,1.0,4869
serial,time,0.5783905859978604,4866
__future__,builtins,0.5413777678371728,4841
direct,direct,1.0,4825
abjad,abjad,1.0,4816
email,smtplib,0.6270454247938212,4790
keystone,keystone,1.0,4787
numbers,numbers,1.0,4746
email,re,0.3359285714285714,4703
BaseHTTPServer,BaseHTTPServer,1.0,4693
email,time,0.334,4676
calibre,calibre,1.0,4672
socket,ssl,0.5763297544119462,4670
mox,mox,1.0,4656
__future__,tensorflow,0.7473870397169963,4648
gc,os,0.5250254208564004,4647
sys,weakref,0.39678605008975126,4642
web,web,1.0,4621
gtk,pygtk,0.9338758901322483,4590
Tools,enigma,0.7542358940615232,4585
eventlet,os,0.4098389982110912,4582
SocketServer,SocketServer,1.0,4575
json,xmodule,0.4238786525218686,4555
gobject,os,0.41917605763901716,4538
student,xmodule,0.7139707040478815,4533
os,webbrowser,0.6262345249687021,4502
heat,heat,1.0,4497
views,views,1.0,4487
vtk,vtk,1.0,4477
ansible,os,0.44254473161033797,4452
boto,os,0.35176078680203043,4435
framework,framework,1.0,4431
OpenGL,ctypes,0.5561000125643926,4426
re,unicodedata,0.558864529210493,4410
commands,sys,0.5042920911067872,4406
sys,zlib,0.426153399748525,4406
gnuradio,gnuradio,1.0,4394
data,data,1.0,4394
thread,time,0.552218172678145,4394
pylons,pylons,1.0,4389
calendar,time,0.43825060048038433,4379
sphinx,sphinx,1.0,4374
eventlet,time,0.39105545617173526,4372
keystoneclient,keystoneclient,1.0,4320
os,posixpath,0.713103904698875,4310
h5py,numpy,0.8239463601532567,4301
website,website,1.0,4297
fixtures,fixtures,1.0,4268
xbmcgui,xbmcgui,1.0,4248
builtins,sys,0.47483784388280026,4246
mongoengine,mongoengine,1.0,4240
sentry,sentry,1.0,4233
weboob,weboob,1.0,4222
array,sys,0.4354922012188823,4216
ast,sys,0.3788233177401943,4211
forms,forms,1.0,4199
os,ssl,0.5169690238183389,4189
celery,django,0.4281039067293925,4186
markdown,markdown,1.0,4185
h2o,h2o,1.0,4147
reportlab,reportlab,1.0,4143
sys,tarfile,0.4873820754716981,4133
pkgutil,pkgutil,1.0,4101
db,db,1.0,4100
heapq,heapq,1.0,4093
courseware,courseware,1.0,4092
utilities,utilities,1.0,4088
shutil,tarfile,0.48125,4081
fileinput,fileinput,1.0,4072
pwd,sys,0.5763120567375887,4063
django,opaque_keys,0.7838255163095927,4061
RPi,time,0.776648773006135,4051
os,weakref,0.34515770578681937,4038
curses,curses,1.0,4036
configparser,sys,0.4921913128355295,4034
select,threading,0.3521606285464863,4034
fabric,os,0.4431256181998022,4032
opaque_keys,xmodule,0.7747539085118703,4014
google,webapp2,0.610231425091352,4008
java,sys,0.6549860815457672,4000
paramiko,paramiko,1.0,3997
ddt,ddt,1.0,3987
sys,thread,0.49981148674123416,3977
docopt,docopt,1.0,3963
__builtin__,sys,0.5724858511101437,3945
grr,grr,1.0,3942
path,path,1.0,3941
modules,modules,1.0,3939
Screens,enigma,0.7824359229088019,3938
autotest,logging,0.6212503946952952,3935
__main__,__main__,1.0,3932
wsgiref,wsgiref,1.0,3916
courseware,django,0.9560117302052786,3912
twitter,twitter,1.0,3912
IPython,os,0.4603249352484106,3910
logging,xmodule,0.36311185557416714,3902
cookielib,cookielib,1.0,3856
flask,wtforms,0.5220040622884224,3855
eventlet,sys,0.34427549194991053,3849
ssl,sys,0.47130692336171787,3819
Components,os,0.47740963855421686,3804
__future__,future,0.7504442250740375,3801
services,services,1.0,3787
fcntl,time,0.4453013763644993,3753
tastypie,tastypie,1.0,3749
com,com,1.0,3749
oauth2client,oauth2client,1.0,3739
corehq,django,0.7426618415761962,3694
mock,testtools,0.3924874613168285,3678
paste,paste,1.0,3650
builtins,os,0.40662044285394766,3636
cProfile,cProfile,1.0,3591
os,qgis,0.46006430868167203,3577
homeassistant,homeassistant,1.0,3563
osgeo,osgeo,1.0,3557
xbmcaddon,xbmcaddon,1.0,3557
Cython,Cython,1.0,3540
DIRAC,DIRAC,1.0,3538
osv,osv,1.0,3531
Screens,Tools,0.7007748857540235,3527
sys,webbrowser,0.490471553762693,3526
swift,swift,1.0,3519
os,thread,0.4422521050647229,3519
sphinx_rtd_theme,sphinx_rtd_theme,1.0,3513
__future__,celery,0.3590713847412559,3511
database,database,1.0,3511
os,xbmc,0.5171091445427729,3506
virttest,virttest,1.0,3505
atexit,time,0.40448399399052354,3500
wagtail,wagtail,1.0,3498
calendar,os,0.3497798238590873,3495
array,os,0.3600867678958785,3486
mkt,mkt,1.0,3484
__builtin__,os,0.5051516470758961,3481
MySQLdb,sys,0.3859004343468092,3465
SCons,os,0.5279304029304029,3459
gui,gui,1.0,3458
time,zlib,0.3325273237256988,3438
log,log,1.0,3426
bson,pymongo,0.42882183548265934,3425
xblock,xblock,1.0,3422
md5,os,0.600388486667844,3400
autotest,os,0.5355225765708873,3392
transaction,transaction,1.0,3389
helper,helper,1.0,3387
http,urllib,0.49676850763807284,3382
os,unicodedata,0.4280826257762007,3378
enigma,os,0.5015613382899629,3373
googleads,googleads,1.0,3367
temboo,temboo,1.0,3364
pandac,pandac,1.0,3363
Tools,os,0.552886987991446,3361
ConfigParser,configparser,0.40922401171303074,3354
haystack,haystack,1.0,3349
__future__,sentry,0.7909284195605953,3348
hmac,time,0.4822071747586803,3347
IPython,sys,0.3936896632917353,3344
OpenSSL,OpenSSL,1.0,3337
readline,readline,1.0,3330
users,users,1.0,3329
module,re,0.506638180985808,3320
win32api,win32api,1.0,3315
pip,pip,1.0,3314
ase,ase,1.0,3298
os,psutil,0.6683559699979729,3297
django,wagtail,0.9396798170383076,3287
sys,unicodedata,0.41655050057026993,3287
queue,threading,0.5535111411208643,3279
resources,sys,0.4627817949808592,3264
mako,mako,1.0,3260
novaclient,novaclient,1.0,3251
html,html,1.0,3238
skimage,skimage,1.0,3227
py,py,1.0,3226
oslo_messaging,oslo_messaging,1.0,3222
hashlib,md5,0.5678968744481724,3216
rdflib,rdflib,1.0,3214
server,server,1.0,3209
serial,sys,0.3809580411268275,3205
mimetypes,sys,0.3563640409434802,3203
Image,os,0.487148288973384,3203
mimetypes,re,0.35580774365821094,3198
os,smtplib,0.4179866474669459,3193
migrate,migrate,1.0,3191
courseware,xmodule,0.7788367546432062,3187
logger,logger,1.0,3179
robot,robot,1.0,3175
ceilometer,ceilometer,1.0,3169
oscar,oscar,1.0,3159
selenium,time,0.3367631296891747,3142
openedx,openedx,1.0,3130
os,pants,0.5508011973939074,3128
sphinx_rtd_theme,sys,0.8895530885283234,3125
factory,factory,1.0,3113
bokeh,bokeh,1.0,3108
webkitpy,webkitpy,1.0,3094
base64,hmac,0.44460452384382654,3086
horizon,logging,0.3728218780251694,3081
babel,babel,1.0,3080
oslo_serialization,six,0.5070074196207749,3075
Plugins,Plugins,1.0,3074
indico,indico,1.0,3074
difflib,os,0.53318276580959,3069
bz2,bz2,1.0,3069
autotest,virttest,0.8738944365192582,3063
bson,datetime,0.38312257418304746,3060
sys,xbmc,0.44778761061946903,3036
__future__,calibre,0.6496147260273972,3035
cherrypy,os,0.48050713153724245,3032
amo,amo,1.0,3032
tables,tables,1.0,3032
translate,translate,1.0,3025
ssl,time,0.3707268912748365,3004
xbmc,xbmcgui,0.705743879472693,2998
json,student,0.4714128209166798,2993
MySQLdb,os,0.33266510747299255,2987
gevent,sys,0.33580746738641476,2986
gevent,os,0.3347953216374269,2977
numpy,tensorflow,0.4780511336227689,2973
iris,iris,1.0,2971
resource,resource,1.0,2964
gc,time,0.334312507061349,2959
oslo_concurrency,oslo_concurrency,1.0,2959
roslib,roslib,1.0,2957
courseware,student,0.7221407624633431,2955
os,telemetry,0.36599280664764977,2951
os,sphinx_rtd_theme,0.8391688015940791,2948
nupic,nupic,1.0,2947
os,processing,0.5498134328358208,2947
click,os,0.41544325239977414,2943
pathlib,pathlib,1.0,2943
plugins,plugins,1.0,2939
pipes,pipes,1.0,2931
statsmodels,statsmodels,1.0,2922
Orange,Orange,1.0,2920
shapely,shapely,1.0,2910
Bio,sys,0.46903225806451615,2908
tarfile,tempfile,0.34150943396226413,2896
pango,pango,1.0,2881
django,forms,0.6846868301976661,2875
webtest,webtest,1.0,2867
django,views,0.6387341207934032,2866
libcloud,libcloud,1.0,2865
django,sentry,0.6761162296243799,2862
googlecloudsdk,googlecloudsdk,1.0,2855
__init__,__init__,1.0,2853
json,temboo,0.8478002378121284,2852
misc,misc,1.0,2832
difflib,sys,0.49183460736622653,2831
http,os,0.41509988249118684,2826
autobahn,autobahn,1.0,2822
numpy,skimage,0.8744964363185621,2822
code,code,1.0,2807
cairo,cairo,1.0,2804
h5py,os,0.5344827586206896,2790
neutronclient,neutronclient,1.0,2784
mysql,mysql,1.0,2784
os,xmlrpclib,0.39259468626342564,2778
sys,xmlrpclib,0.39245336348219334,2777
grp,grp,1.0,2773
tweepy,tweepy,1.0,2769
concurrent,concurrent,1.0,2769
http,sys,0.4055522914218566,2761
nipype,nipype,1.0,2751
xblock,xmodule,0.8027469316189363,2747
sha,sha,1.0,2746
netCDF4,netCDF4,1.0,2746
h2o,sys,0.6619242826139378,2745
oslo_config,oslo_serialization,0.4522671063478978,2743
version,version,1.0,2736
django,mkt,0.7850172215843858,2735
feedparser,feedparser,1.0,2728
opaque_keys,student,0.524802161744837,2719
logging,virttest,0.7731811697574893,2710
django,tastypie,0.71619098426247,2685
pwd,time,0.3802836879432624,2681
trac,trac,1.0,2674
ez_setup,ez_setup,1.0,2667
numba,numba,1.0,2659
re,sickbeard,0.47761194029850745,2656
thrift,thrift,1.0,2653
ez_setup,setuptools,0.9943757030371203,2652
glance,glance,1.0,2650
pyquery,pyquery,1.0,2649
fractions,fractions,1.0,2644
django,oscar,0.8366571699905033,2643
sets,sys,0.4899702823179792,2638
kombu,kombu,1.0,2626
cookielib,urllib2,0.6797199170124482,2621
win32com,win32com,1.0,2621
md5,sys,0.4626523044322797,2620
ddt,mock,0.654376724354151,2609
pyparsing,pyparsing,1.0,2609
docutils,os,0.4316976127320955,2604
services,sys,0.6870874042777925,2602
mathutils,mathutils,1.0,2597
IECore,IECore,1.0,2588
HTMLParser,re,0.5282710757297407,2588
xbmc,xbmcaddon,0.726454877705932,2584
numpy,statsmodels,0.8839835728952772,2583
mock,student,0.40667821704205387,2582
Screens,os,0.512219352274985,2578
gramps,gramps,1.0,2576
os,xbmcgui,0.6061676082862524,2575
rally,rally,1.0,2570
astropy,os,0.4135931712030923,2568
MaKaC,MaKaC,1.0,2564
Utils,Utils,1.0,2560
Bio,os,0.41258064516129034,2558
pulp,pulp,1.0,2556
direct,pandac,0.760035682426405,2556
UserDict,UserDict,1.0,2551
Cython,distutils,0.7200564971751412,2549
std_msgs,std_msgs,1.0,2540
roslib,rospy,0.8589786946229286,2540
amo,django,0.837401055408971,2539
libs,libs,1.0,2538
django,openedx,0.8073482428115016,2527
routes,routes,1.0,2525
errors,errors,1.0,2524
Queue,queue,0.4238690074274139,2511
homeassistant,logging,0.7027785573954533,2504
cookielib,urllib,0.6488589211618258,2502
edxmako,edxmako,1.0,2497
difflib,re,0.4334607366226546,2495
os,sphinx,0.5701874714220393,2494
plaso,plaso,1.0,2493
__main__,os,0.6337741607324516,2492
django,users,0.7482727545809552,2491
os,webapp2,0.37911084043848964,2490
django,edxmako,0.9959951942330797,2487
BaseHTTPServer,os,0.5297251225229065,2486
grp,os,0.8939776415434547,2479
gtk,pango,0.8604651162790697,2479
os,pipes,0.8451040600477653,2477
PyQt4,processing,0.4619402985074627,2476
framework,website,0.5759832441238073,2475
os,queue,0.41677920324105333,2469
apiclient,apiclient,1.0,2468
termios,termios,1.0,2463
git,git,1.0,2461
queue,sys,0.41542876434841325,2461
oslo_serialization,oslo_utils,0.40560593569661996,2460
queue,time,0.4147535449020932,2457
elasticsearch,elasticsearch,1.0,2456
primaires,primaires,1.0,2455
