package,count
(require 'semantic/analyze/refs),216
(require 'ess),216
(require 'url-gw),215
(require 'nxml-rap),214
(require 'crm),214
(require 'arc-mode),214
(require 'cedet-global),213
(require 'image),209
(require 'cider-eldoc),209
(require 'git-commit),208
(require 'evil-search),208
(require 'skewer-mode),207
(require 'rng-uri),206
(require 'rng-pttrn),206
(require 'nxml-parse),206
(require 'edebug),204
(require 'semantic/util),203
(require 'erc-networks),203
(require 'cider-repl),201
(require 'ledger-regex),200
(require 'parse-time),199
(require 'jabber-widget),199
(require 'cogre),199
(require 'mu4e-message),198
(require 'magit-mode),198
(require 'helm-info),198
(require 'helm-external),198
(require 'srecode/find),197
(require 'dash-functional),197
(require 'subr-x),196
(require 'jabber-alert),196
(require 'cider-doc),196
(require 'wisent),195
(require 'select),195
(require 'password-cache),195
(require 'jabber-xml),195
(require 'web-mode),194
(require 'pdf-util),193
(require 'mu4e-utils),193
(require 'ghc-func),193
(require 'fontset),193
(require 'epl),193
(require 'w3m-proc),192
(require 'rdebug-vars),192
(require 'rdebug-dbg),192
(require 'let-alist),192
(require 'autorevert),192
(require 'tool-bar),191
(require 'timezone),191
(require 'srecode/map),191
(require 'pgg),191
(require 'mu4e),191
(require 'mm-view),191
(require 'smime),190
(require 'rfc2231),190
(require 'goto-addr),190
(require 'find-file),190
(require 'ess-utils),190
(require 'bbdb-com),190
(require 'ediff),189
(require 'semantic/util-modes),188
(require 'nnmh),188
(require 'nndraft),188
(require 'korea-util),188
(require 'haskell-sort-imports),188
(require 'gnus-undo),188
(require 'smartparens-config),187
(require 'semantic/db-file),187
(require 'make-mode),187
(require 'srecode/ctxt),186
(require 'geiser nil t),186
(require 'working),185
(require 'test-simple),185
(require 'semantic-symref),185
(require 'mew),185
(require 'url-methods),184
(require 'url-file),184
(require 'semantic/doc),184
(require 'ldap),184
(require 'erc-match),184
(require 'ebnf2ps),184
(require 'dframe),184
(require 'testcover),183
(require 'sb-fml),182
(require 'pcvs-info),182
(require 'lao-util),182
(require 'init-org),182
(require 'inf-ruby),182
(require 'idlwave),182
(require 'viper-init),181
(require 'semantic/db-ref),181
(require 'sb-multi),181
(require 'geiser-syntax),181
(require 'whitespace),180
(require 'srecode/args),180
(require 'prelude-programming),180
(require 'lpr),180
(require 'ede/pconf),180
(require 'ecb-method-browser),180
(require 'magit-log),179
(require 'helm-net),178
(require 'cal-dst),178
(require 'w32-vars),176
(require 'url-auth),176
(require 'init-utils),176
(require 'flyspell),176
(require 'cedet-utests),176
(require 'org-capture),174
(require 'init-markdown),174
(require 'ede/auto),174
(require 'linum),172
(require 'zeroconf),171
(require 'diff),170
(require 'help-fns),169
(require 'rdebug-source),168
(require 'url-expand),167
(require 'haskell),167
(require 'newst-ticker),166
(require 'semantic/bovine/gcc),165
(require 'init-ido),165
(require 'init-clojure),165
(require 'init-flycheck),164
(require 'switch-window),161
(require 'mml2015),161
(require 'pdf-info),160
(require 'mmm-region),159
(require 'init-lisp),157
(require 'init-javascript),157
(require 'init-dired),157
(require 'evil-maps),157
(require 'fringe),156
(require 'ediff-wind),156
(require 'hippie-exp),155
(require 'helm-locate),155
(require 'haskell-align-imports),155
(require 'solarized),154
(require 'man),154
(require 'init-themes),154
(require 'init-misc),154
(require 'init-css),154
(require 'geiser-impl),154
(require 'ediff-help),154
(require 'ediff-diff),154
(require 'viper-mous),153
(require 'viper-ex),153
(require 'lean-util),153
(require 'init-ibuffer),153
(require 'init-gui-frames),153
(require 'init-uniquify),152
(require 'haml-mode),152
(require 'align),152
(require 'magit-key-mode),151
(require 'init-windows),151
(require 'init-fonts),151
(require 'init-editing-utils),151
(require 'ess-custom),151
(require 'cc-cmds),151
(require 'semantic/lex-spp),150
(require 'semantic/complete),150
(require 'init-hippie-expand),150
(require 'init-compat),150
(require 'init-recentf),149
(require 'ess-site),149
(require 'tramp-sh),148
(require 'smtpmail),148
(require 'pdf-view),148
(require 'init-xterm),148
(require 'haskell-complete-module),148
(require 'deferred),148
(require 'tern),147
(require 'proof),147
(require 'network-stream),147
(require 'helm-buffers),147
(require 'haskell-navigate-imports),147
(require 'reftex-parse),146
(require 'init-isearch),146
(require 'geiser-edit),146
(require 'init-python-mode),145
(require 'init-mmm),145
(require 'init-locales),145
(require 'fuel-syntax),145
(require 'eieio-custom),145
(require 'w3m-image),144
(require 'rdebug-secondary),144
(require 'rdebug-regexp),144
(require 'proof-syntax),144
(require 'init-slime),144
(require 'init-sessions),144
(require 'haskell-presentation-mode),144
(require 'gnus-registry),144
(require 'vc-cvs),143
(require 'scala-mode-lib),143
(require 'init-local nil t),143
(require 'init-crontab),143
(require 'init-compile),143
(require 'evil-commands),143
(require 'add-log),143
(require 'magit-popup),142
(require 'init-osx-keys),142
(require 'scala-mode2-syntax),141
(require 'registry),141
(require 'paredit),141
(require 'nnimap),141
(require 'muse-publish),141
(require 'elscreen),141
(require 'anything),141
(require 'poe),140
(require 'init-php),140
(require 'init-paredit),140
(require 'init-common-lisp),140
(require 'haskell-commands),140
(require 'factor-mode),140
(require 'ess-noweb-mode),140
(require 'init-vc),139
(require 'init-textile),139
(require 'init-preload-local nil t),139
(require 'init-grep),139
(require 'hl-line),139
(require 'org-html),138
(require 'init-ledger),138
(require 'init-haml),138
(require 'init-dash),138
(require 'gv),138
(require 'context),138
(require 'init-html),137
(require 'init-csv),137
(require 'icalendar),137
(require 'efc),137
(require 'color-theme-sanityinc-tomorrow),137
(require 'init-sql),136
(require 'idris-core),136
(require 'haskell-sandbox),136
(require 'haskell-modules),136
(require 'scala-mode-constants),135
(require 'powerline),135
(require 'init-erlang),135
(require 'init-darcs),135
(require 'init-auto-complete),135
(require 'helm-adaptive),135
(require 'multiple-cursors),134
(require 'init-ruby-mode),134
(require 'init-nxml),134
(require 'helm-mode),134
(require 'gh-profile),133
(require 'ess-inf),133
(require 'xref),132
(require 'planner),132
(require 'neotree),132
(require 'mu4e-proc),132
(require 'init-github),132
(require 'info-look),132
(require 'semantic/symref/filter),131
(require 'ucs-normalize),130
(require 'fuel-completion),130
(require 'sclang-interp),129
(require 'sb-image),129
(require 'mu4e-meta),129
(require 'init-rails),129
(require 'cua-base),129
(require 'chart),129
(require 'cider-stacktrace),128
(require 'base64),128
(require 'autoconf-edit),128
(require 'time-stamp),127
(require 'texnfo-upd),127
(require 'senator),127
(require 'bbdb-com nil t),127
(require 'bbdb nil t),127
(require 'sclang-util),126
(require 'geiser-autodoc),126
(require 'abbrev),126
(require 'idris-common-utils),125
(require 'el-mock),125
(require 'ede-proj-obj),125
(require 'xsd-regexp),124
(require 'jka-compr),124
(require 'w3m-ccl),122
(require 'cedet-idutils),122
(require 'cedet-cscope),122
(require 'filenotify),121
(require 'shm-layout),120
(require 'image-mode),120
(require 'ecb-file-browser),120
(require 'ecb-create-layout),120
(require 'cider-test),120
(require 'cc-langs),120
(require 'bindat),120
(require 'semanticdb-find),119
(require 'rdebug-fns),119
(require 'er-basic-expansions),119
(require 'mmm-utils),118
(require 'js),118
(require 'jabber-keymap),118
(require 'init-haskell),118
(require 'tramp-compat),117
(require 'jabber-menu),117
(require 'ess-lsp-l),117
(require 'ess-compat),117
(require 'paren),116
(require 'init-prefs),116
(require 'avl-tree),116
(require 'easy-mmode),115
(require 'rainbow-delimiters),114
(require 'jabber-presence),114
(require 'guix-guile),114
(require 'diff-hl),114
"(require 'byte-compile ""bytecomp"")",114
(require 'vc-bzr),113
(require 'slime-autodoc),113
(require 'ferl),113
(require 'cperl-mode),113
(require 'semantic-java),111
(require 'nxml-outln),111
(require 'hideif),111
(require 'hex-util),111
(require 'eieio-core),111
(require 'semantic/decorate/mode),110
(require 'rng-valid),110
(require 'footnote),110
(require 'org-clock),109
(require 'mailheader),109
(require 'company-dabbrev),109
(require 'request),108
(require 'geiser-popup),108
(require 'fuel-font-lock),108
(require 'expand-region),108
(require 'cider-version),108
(require 'ghc-process),107
(require 'elp),107
(require 'prelude-lisp),106
(require 'image-dired),106
(require 'org-install),105
(require 'helm-bookmark),105
(require 'erc-fill),105
(require 'ede-make),105
(require 'semantic/analyze/complete),104
(require 'nxml-glyph),104
(require 'fuel-popup),104
(require 'fuel-edit),104
(require 'semantic-grammar),103
(require 'rng-parse),103
(require 'rmailsum),103
(require 'rfc822),103
(require 'pcmpl-unix),103
(require 'org-learn),103
(require 'magit-process),103
(require 'emms-info),103
(require 'url-dav),102
(require 'solar),102
(require 'semantic/db-typecache),102
(require 'semantic-util-modes),102
(require 'evil-command-window),102
(require 'ensime),102
(require 'starter-kit-bindings),101
(require 'mumamo),101
(require 'helm-tags),101
(require 'emms-player-simple),101
(require 'compile nil t),101
(require 'pkg-info),100
(require 'netrc),100
(require 'mu4e-actions),100
(require 'mmm-class),100
(require 'magit-sequence),100
(require 'ledger-navigate),100
(require 'jdee-parse),100
(require 'irony),100
(require 'helm-imenu),100
(require 'haskell-completions),100
(require 'ein-kernel),100
(require 'bind-key),100
(require 'undo-tree),99
(require 'starter-kit-defuns),99
(require 'mc-mark-more),99
(require 'magit-wip),99
(require 'magit-apply),99
(require 'helm-projectile),99
(require 'helm-eval),99
(require 'helm-elscreen),99
(require 'geiser),99
(require 'ede-proj-comp),99
(require 'wgrep-helm nil t),98
(require 'w3-vars),98
(require 'starter-kit-misc),98
(require 'shr),98
(require 'semantic/scope),98
(require 'reporter),98
(require 'ntlm),98
(require 'markdown-mode),98
(require 'starter-kit-lisp),97
(require 'python nil t),97
(require 'erc-goodies),97
(require 'erc-dcc),97
(require 'erc-button),97
(require 'erc-backend),97
(require 'epg-config),97
(require 'xcb-types),96
(require 'tramp-sh nil t),96
(require 'starter-kit-ruby),96
(require 'starter-kit-registers),96
(require 'starter-kit-eshell),96
(require 'skeleton),96
(require 'semantic-analyze-fcn),96
(require 'ohai-package),96
(require 'nxml-uchnm),96
"(require 'md5)				; expects (md5 STRING)",96
(require 'md4),96
(require 'guix-buffer),96
(require 'evil-matchit-sdk),96
(require 'cider),96
(require 'url-proxy),95
(require 'url-history),95
(require 'mh-comp),95
(require 'gnus-topic),95
(require 'emms-playlist-mode),95
(require 'ein-log),95
(require 'yaml-mode),94
(require 'sort),94
(require 'sieve-mode),94
(require 'sieve-manage),94
(require 'score-mode),94
(require 'rfc2045),94
(require 'rdebug-gud),94
(require 'nnvirtual),94
(require 'nndiary),94
(require 'mm-uu),94
(require 'mh-acros),94
(require 'mail-source),94
"(require 'hex-util)			; (decode-hex-string STRING)",94
(require 'gnus-srvr),94
(require 'gnus-draft),94
(require 'gnus-cache),94
(require 'dig),94
(require 'srecode-table),93
(require 'beanshell),93
(require 'yenc),92
(require 'url-privacy),92
(require 'url-dired),92
(require 'smex),92
(require 'skeleton nil t),92
(require 'semantic/wisent/wisent),92
(require 'reftex-vars),92
(require 'kmacro),92
(require 'inf-haskell),92
(require 'ind-util),92
(require 'gnus-cite),92
(require 'geiser-log),92
(require 'font-core),92
(require 'flymake-easy),92
(require 'esh-var),92
(require 'erlang),92
(require 'epc),92
(require 'env),92
(require 'edts-api),92
(require 'ede/source),92
(require 'which-func nil t),91
(require 'viper-cmd),91
(require 'viet-util),91
(require 'tpu-edt),91
(require 'tibet-util),91
(require 'starttls),91
(require 'semantic-ectag-parse),91
(require 'rng-nxml),91
(require 'pgg-parse),91
(require 'pgg-def),91
(require 'pcvs-parse),91
(require 'pcvs-defs),91
(require 'org-bibtex),91
(require 'mh-compat),91
(require 'mh-buffers),91
(require 'mailalias),91
(require 'kkc),91
(require 'idlw-help),91
(require 'haskell-decl-scan),91
(require 'find-file nil t),91
(require 'ethio-util),91
(require 'esh-proc),91
(require 'esh-module),91
(require 'esh-io),91
(require 'em-pred),91
(require 'ediff-mult),91
(require 'ediff-merg),91
(require 'ede/proj-prog),91
(require 'ede/proj-elisp),91
(require 'ange-ftp),91
(require 'align nil t),91
(require 'x-dnd),90
(require 'windmove),90
(require 'viper-macs),90
(require 'unsafep),90
(require 'thai-word),90
(require 'starter-kit-elpa),90
(require 'srecode/template),90
(require 'srecode/srt-wy),90
(require 'srecode/extract),90
(require 'semantic/texi),90
(require 'semantic/symref/global),90
(require 'semantic/debug),90
(require 'semantic/bovine/scm-by),90
(require 'semantic/bovine/make-by),90
(require 'semantic/bovine/c-by),90
(require 'regi),90
(require 'jka-cmpr-hook),90
(require 'ja-dic-utl),90
(require 'hi-lock),90
(require 'gh-repos),90
(require 'geiser-completion),90
(require 'eudc-vars),90
(require 'ede/makefile-edit),90
(require 'ede/files),90
(require 'ebuff-menu),90
(require 'ebrowse),90
(require 'cc-fonts) ;),90
"(require 'cask ""~/.cask/cask.el"")",90
(require 'calc-arith),90
(require 'autopair),90
(require 'ada-xref),90
(require 'starter-kit-perl),89
(require 'robin),89
(require 'vc-dispatcher),88
(require 'soap-client),88
(require 'simple-httpd),88
(require 'semantic/wisent/python-wy),88
(require 'scala-mode-navigation),88
(require 'php-mode),88
(require 'notifications),88
(require 'jde-parse),88
(require 'hanja-util),88
(require 'epa-hook),88
(require 'el-get-core),88
(require 'ede/base),88
(require 'calcalg3),88
(require 'cal-menu),88
(require 'warnings),87
(require 'starter-kit-js),87
(require 'slime-c-p-c),87
(require 'path-util),87
(require 'flx-ido),87
(require 'autoconf),87
(require 'ude-autoload),86
(require 'semantic/wisent/javat-wy),86
(require 'printing),86
(require 'inf-lisp),86
(require 'dominating-file),86
(require 'srecode/filters),85
(require 'muse-regexps),85
(require 'mh-loaddefs),85
(require 'jabber-chat),85
(require 'helm-source),85
(require 'fuel-menu),85
(require 'ess-mode),85
(require 'apropos),85
(require 'w3m-favicon),84
(require 'semantic/wisent/js-wy),84
(require 'semantic/grammar-wy),84
(require 'sclang-language),84
(require 'mml-smime),84
(require 'jabber-muc),84
(require 'gravatar),84
(require 'ein-worksheet),84
(require 'diminish),84
(require 'cus-load),84
(require 'utf7),83
(require 'term/xterm),83
(require 'semanticdb-ref),83
(require 'newst-treeview),83
(require 'newst-plainview),83
(require 'haskell-lexeme),83
(require 'guix-backend),83
(require 'fill-column-indicator),83
(require 'ess-bugs-l),83
(require 'spam-stat),82
(require 'org-exp-blocks),82
(require 'vc-dir),81
(require 'slime-tests),81
(require 'python-mode),81
(require 'json nil t),81
(require 'emms-compat),81
(require 'subword),80
(require 'srecode-semantic),80
(require 'spinner),80
(require 'popwin),80
(require 'ox-md),80
(require 'nrepl-dict),80
(require 'moz nil t),80
(require 'idris-settings),80
(require 'ein-notebook),80
(require 'savehist),79
(require 'rust-mode),79
(require 'ps-mule),79
(require 'haskell-load),79
(require 'fuel-help),79
(require 'finder-inf nil t),79
(require 'find-func) ;for find-library(-suffixes),79
(require 'expand-region-custom),79
(require 'evil-integration),79
(require 'ede/shell),79
(require 'cl-macs),79
(require 'semantic-util),78
(require 'ps-def),78
(require 'fuel-stack),78
(require 'fuel-log),78
(require 'fuel-autodoc),78
(require 'cconv),78
(require 'allout),78
"(require 'org-compat ""org-compat.el"")",77
(require 'markdown-mode nil t),77
(require 'jdee-util),77
(require 'gdb-ui),77
(require 'flycheck-buttercup),77
(require 'edts-log),77
(require 'sbt-mode-project),76
(require 'sb-text),76
(require 'ruby-compilation),76
(require 'jabber-si-server),76
(require 'jabber-si-client),76
(require 'jabber-register),76
(require 'jabber-logon),76
(require 'jabber-feature-neg),76
(require 'jabber-conn),76
(require 'iswitchb),76
(require 'haskell-indentation),76
(require 'haskell-collapse),76
(require 'gnus-fun),76
(require 'ghc-comp),76
(require 'gh-issues),76
(require 'cc-styles),76
(require 'pycomplete),75
(require 'ledger-init),75
(require 'init-whitespace),75
(require 'haskell-compile),75
(require 'css-mode),75
(require 'geiser-connection),74
(require 'elfeed-lib),74
(require 'rdebug),73
(require 'hydra),73
(require 'url-domsuf),72
(require 'semantic-find),72
(require 'pdf-cache),72
(require 'jabber-autoloads),72
(require 'inflections),72
(require 'helm-multi-match),72
(require 'geiser-menu),72
(require 'ace-jump-mode),72
(require 'span),71
(require 'rdebug-locring),71
(require 'irony-cdb),71
(require 'guix-list),71
(require 'cedet-compat),71
(require 'vc-hg),70
(require 'poem),70
(require 'muse),70
(require 'mozart nil t),70
(require 'init-proxies),70
(require 'init-fci),70
(require 'highlight-uses-mode),70
(require 'haskell-repl),70
(require 'haskell-debug),70
(require 'guix-info),70
(require 'coq-syntax),70
(require 'toolbar-x),69
(require 'sr-speedbar),69
(require 'init-elm),69
(require 'haskell-test-utils),69
(require 'coffee-mode),69
(require 'xcb-xproto),68
(require 'tq),68
(require 'tex-style),68
(require 'sql),68
(require 'org-test),68
(require 'lean-variable),68
(require 'lean-server),68
(require 'lean-debug),68
(require 'helm-easymenu),68
(require 'guix-profiles),68
(require 'cua-rect),68
(require 'color-theme-sanityinc-solarized),68
(require 'xref nil t),67
(require 'util),67
(require 'test-unit),67
(require 'tabbar),67
(require 'semantic/db-el),67
(require 'pg-autotest),67
(require 'org-trello-log),67
(require 'mm-archive),67
(require 'jde),67
(require 'ede-pconf),67
(require 'dict-tree),67
(require 'conf-mode),67
(require 'ude-config),66
(require 'semantic-doc),66
(require 'mu4e-mark),66
(require 'mu4e-compose),66
(require 'helm-aliases),66
(require 'srecode/fields),65
(require 'slime-autoloads),65
(require 'semantic-decorate-mode),65
(require 'org-export),65
(require 'gh-url),65
(require 'geiser-doc),65
(require 'fuel-xref),65
(require 'eproject),65
"(require 'eieio ""../eieio"")",65
(require 'semanticdb-typecache),64
(require 'semantic-scope),64
(require 'org-exp nil 'noerror),64
(require 'org nil 'noerror),64
(require 'merlin),64
(require 'frameset),64
(require 'swift-mode),63
(require 'loadhist),63
(require 'ido-ubiquitous),63
(require 'guix-base),63
(require 'ghc-info),63
(require 'css-mode nil t),63
(require 'textile-mode nil t),62
(require 'srecode-find),62
(require 'srecode-compile),62
(require 'semantic/db-global),62
(require 'semantic-ectag-util),62
(require 'scala-mode2-lib),62
(require 'scala-mode2-indent),62
(require 'rectangular-region-mode),62
(require 'pccl),62
(require 'mc-separate-operations),62
(require 'mc-edit-lines),62
(require 'mc-cycle-cursors),62
(require 'matlab),62
(require 'key-chord),62
(require 'css-color),62
(require 'cit-symref),62
(require 'url-queue),61
(require 'queue),61
(require 'pymacs),61
(require 'muse-project),61
(require 'mc-mark-pop),61
(require 'ivy),61
(require 'cl-extra),61
(require 'srecode/doc),60
(require 'smie nil 'noerror),60
(require 'semantic/tag-write),60
